pool,pool_name,pool_address,tf,sl_opt,exit_mode,trades,TP,SL,BE,EXP,win_rate_resolved_pct,sl_rate_resolved_pct,be_rate_pct,be_gate_hit,be_gate_recovered,be_gate_recovery_rate_pct,ever_floating_loss,ever_floating_loss_pct,deep50_loss,deep50_then_recovered_entry,deep50_recovery_rate_pct,deep75_loss,deep75_then_recovered_entry,deep75_recovery_rate_pct,max_consec_win,min_consec_win,max_consec_loss,min_consec_loss,avg_bars_held,avg_minutes_held,avg_R,sum_R
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,5m,O2_ST2X,TP_FRACTAL,2,2,0,0,0,100.0,0.0,0.0,2,0,0.0,2,100.0,0,0,0.0,0,0,0.0,2,2,0,0,10.5,52.5,0.5411180397263748,1.0822360794527497
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,15m,O1_SL50,TP_FRACTAL,2,0,2,0,0,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,2,2,17.0,255.0,-1.0,-2.0
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,15m,O2_ST2X,TP_FRACTAL,2,0,2,0,0,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,2,2,17.0,255.0,-1.0,-2.0
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,1m,O1_SL50,TP_FRACTAL,26,21,5,0,0,80.76923076923077,19.230769230769234,0.0,23,0,0.0,23,88.46153846153845,6,0,0.0,5,0,0.0,6,2,1,1,28.153846153846153,28.153846153846153,-0.10938051061401227,-2.843893275964319
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,1m,O2_ST2X,TP_FRACTAL,25,18,7,0,0,72.0,28.000000000000004,0.0,22,0,0.0,22,88.0,8,0,0.0,7,0,0.0,4,1,1,1,17.52,17.52,-0.0538479425854144,-1.34619856463536
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,5m,O1_SL50,TP_FRACTAL,10,5,5,0,0,50.0,50.0,0.0,8,0,0.0,8,80.0,6,0,0.0,5,0,0.0,2,1,2,1,33.0,165.0,-0.35589290347936803,-3.5589290347936804
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,5m,O2_ST2X,TP_FRACTAL,10,5,5,0,0,50.0,50.0,0.0,8,0,0.0,8,80.0,5,0,0.0,5,0,0.0,2,1,2,1,26.4,132.0,-0.3763745703168196,-3.763745703168196
GPC-SOL [CyKTuP...hmqT],GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O1_SL50,TP_FRACTAL,4,3,0,0,1,100.0,0.0,0.0,3,0,0.0,3,75.0,0,0,0.0,0,0,0.0,3,3,0,0,21.5,322.5,0.11552593388068494,0.46210373552273976
GPC-SOL [CyKTuP...hmqT],GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O2_ST2X,TP_FRACTAL,4,2,2,0,0,50.0,50.0,0.0,3,0,0.0,3,75.0,3,0,0.0,3,0,0.0,1,1,2,2,11.25,168.75,-0.30094285179402025,-1.203771407176081
GPC-SOL [CyKTuP...hmqT],GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,5m,O1_SL50,TP_FRACTAL,2,2,0,0,0,100.0,0.0,0.0,2,0,0.0,2,100.0,1,0,0.0,0,0,0.0,2,2,0,0,34.5,172.5,0.16517659112089178,0.33035318224178356
