mode,opt,combo_mode,tp_ratio,trail_variant,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
V11,O4,B,1x,ATR,2026-06-24,61077.99,64742.67,6.0,-6.0,3.74,TRAIL,1,0.216
V11G,O4,B,1x,ATR,2026-06-24,61077.99,64742.67,6.0,-6.0,3.74,TRAIL,1,0.216
V11,O4,B,1x,ST,2026-06-24,61077.99,64742.67,6.0,-6.0,3.74,EXP,16,-0.504
V11G,O4,B,1x,ST,2026-06-24,61077.99,64742.67,6.0,-6.0,3.74,EXP,16,-0.504
V11,O4,B,1x,RB,2026-06-24,61077.99,64742.67,6.0,-6.0,3.74,EXP,16,-0.504
V11G,O4,B,1x,RB,2026-06-24,61077.99,64742.67,6.0,-6.0,3.74,EXP,16,-0.504
V11,O4,B,2x,ATR,2026-06-24,61077.99,64742.67,6.0,-12.0,3.74,TRAIL,1,0.216
V11G,O4,B,2x,ATR,2026-06-24,61077.99,64742.67,6.0,-12.0,3.74,TRAIL,1,0.216
V11,O4,B,2x,ST,2026-06-24,61077.99,64742.67,6.0,-12.0,3.74,EXP,16,-0.504
V11G,O4,B,2x,ST,2026-06-24,61077.99,64742.67,6.0,-12.0,3.74,EXP,16,-0.504
V11,O4,B,2x,RB,2026-06-24,61077.99,64742.67,6.0,-12.0,3.74,EXP,16,-0.504
V11G,O4,B,2x,RB,2026-06-24,61077.99,64742.67,6.0,-12.0,3.74,EXP,16,-0.504
V11,O4,B,3x,ATR,2026-06-24,61077.99,64742.67,6.0,-18.0,3.74,TRAIL,1,0.216
V11G,O4,B,3x,ATR,2026-06-24,61077.99,64742.67,6.0,-18.0,3.74,TRAIL,1,0.216
V11,O4,B,3x,ST,2026-06-24,61077.99,64742.67,6.0,-18.0,3.74,EXP,16,-0.504
V11G,O4,B,3x,ST,2026-06-24,61077.99,64742.67,6.0,-18.0,3.74,EXP,16,-0.504
V11,O4,B,3x,RB,2026-06-24,61077.99,64742.67,6.0,-18.0,3.74,EXP,16,-0.504
V11G,O4,B,3x,RB,2026-06-24,61077.99,64742.67,6.0,-18.0,3.74,EXP,16,-0.504
V11,O5,B,1x,ATR,2026-06-24,61077.99,65481.63,7.21,-7.21,3.74,TRAIL,1,0.18
V11G,O5,B,1x,ATR,2026-06-24,61077.99,65481.63,7.21,-7.21,3.74,TRAIL,1,0.18
V11,O5,B,1x,ST,2026-06-24,61077.99,65481.63,7.21,-7.21,3.74,EXP,16,-0.42
V11G,O5,B,1x,ST,2026-06-24,61077.99,65481.63,7.21,-7.21,3.74,EXP,16,-0.42
V11,O5,B,1x,RB,2026-06-24,61077.99,65481.63,7.21,-7.21,3.74,EXP,16,-0.42
V11G,O5,B,1x,RB,2026-06-24,61077.99,65481.63,7.21,-7.21,3.74,EXP,16,-0.42
V11,O5,B,2x,ATR,2026-06-24,61077.99,65481.63,7.21,-14.42,3.74,TRAIL,1,0.18
V11G,O5,B,2x,ATR,2026-06-24,61077.99,65481.63,7.21,-14.42,3.74,TRAIL,1,0.18
V11,O5,B,2x,ST,2026-06-24,61077.99,65481.63,7.21,-14.42,3.74,EXP,16,-0.42
V11G,O5,B,2x,ST,2026-06-24,61077.99,65481.63,7.21,-14.42,3.74,EXP,16,-0.42
V11,O5,B,2x,RB,2026-06-24,61077.99,65481.63,7.21,-14.42,3.74,EXP,16,-0.42
V11G,O5,B,2x,RB,2026-06-24,61077.99,65481.63,7.21,-14.42,3.74,EXP,16,-0.42
V11,O5,B,3x,ATR,2026-06-24,61077.99,65481.63,7.21,-21.63,3.74,TRAIL,1,0.18
V11G,O5,B,3x,ATR,2026-06-24,61077.99,65481.63,7.21,-21.63,3.74,TRAIL,1,0.18
V11,O5,B,3x,ST,2026-06-24,61077.99,65481.63,7.21,-21.63,3.74,EXP,16,-0.42
V11G,O5,B,3x,ST,2026-06-24,61077.99,65481.63,7.21,-21.63,3.74,EXP,16,-0.42
V11,O5,B,3x,RB,2026-06-24,61077.99,65481.63,7.21,-21.63,3.74,EXP,16,-0.42
V11G,O5,B,3x,RB,2026-06-24,61077.99,65481.63,7.21,-21.63,3.74,EXP,16,-0.42
V11,O1,C,,ATR,2026-06-24,61077.99,67185.79,10.0,,3.74,TRAIL,1,0.13
V11G,O1,C,,ATR,2026-06-24,61077.99,67185.79,10.0,,3.74,TRAIL,1,0.13
V11,O1,C,,ST,2026-06-24,61077.99,67185.79,10.0,,3.74,EXP,16,-0.303
V11G,O1,C,,ST,2026-06-24,61077.99,67185.79,10.0,,3.74,EXP,16,-0.303
V11,O1,C,,RB,2026-06-24,61077.99,67185.79,10.0,,3.74,EXP,16,-0.303
V11G,O1,C,,RB,2026-06-24,61077.99,67185.79,10.0,,3.74,EXP,16,-0.303
V11,O2,C,,ATR,2026-06-24,61077.99,67865.4,11.11,,3.74,TRAIL,1,0.117
V11G,O2,C,,ATR,2026-06-24,61077.99,67865.4,11.11,,3.74,TRAIL,1,0.117
V11,O2,C,,ST,2026-06-24,61077.99,67865.4,11.11,,3.74,EXP,16,-0.272
V11G,O2,C,,ST,2026-06-24,61077.99,67865.4,11.11,,3.74,EXP,16,-0.272
V11,O2,C,,RB,2026-06-24,61077.99,67865.4,11.11,,3.74,EXP,16,-0.272
V11G,O2,C,,RB,2026-06-24,61077.99,67865.4,11.11,,3.74,EXP,16,-0.272
V11,O3,C,,ATR,2026-06-24,61077.99,63360.41,3.74,,3.74,TRAIL,1,0.347
V11G,O3,C,,ATR,2026-06-24,61077.99,63360.41,3.74,,3.74,TRAIL,1,0.347
V11,O3,C,,ST,2026-06-24,61077.99,63360.41,3.74,,3.74,SL,10,-1.0
V11G,O3,C,,ST,2026-06-24,61077.99,63360.41,3.74,,3.74,SL,10,-1.0
V11,O3,C,,RB,2026-06-24,61077.99,63360.41,3.74,,3.74,SL,10,-1.0
V11G,O3,C,,RB,2026-06-24,61077.99,63360.41,3.74,,3.74,SL,10,-1.0
V11,O4,C,,ATR,2026-06-24,61077.99,64742.67,6.0,,3.74,TRAIL,1,0.216
V11G,O4,C,,ATR,2026-06-24,61077.99,64742.67,6.0,,3.74,TRAIL,1,0.216
V11,O4,C,,ST,2026-06-24,61077.99,64742.67,6.0,,3.74,EXP,16,-0.504
V11G,O4,C,,ST,2026-06-24,61077.99,64742.67,6.0,,3.74,EXP,16,-0.504
V11,O4,C,,RB,2026-06-24,61077.99,64742.67,6.0,,3.74,EXP,16,-0.504
V11G,O4,C,,RB,2026-06-24,61077.99,64742.67,6.0,,3.74,EXP,16,-0.504
V11,O5,C,,ATR,2026-06-24,61077.99,65481.63,7.21,,3.74,TRAIL,1,0.18
V11G,O5,C,,ATR,2026-06-24,61077.99,65481.63,7.21,,3.74,TRAIL,1,0.18
V11,O5,C,,ST,2026-06-24,61077.99,65481.63,7.21,,3.74,EXP,16,-0.42
V11G,O5,C,,ST,2026-06-24,61077.99,65481.63,7.21,,3.74,EXP,16,-0.42
V11,O5,C,,RB,2026-06-24,61077.99,65481.63,7.21,,3.74,EXP,16,-0.42
V11G,O5,C,,RB,2026-06-24,61077.99,65481.63,7.21,,3.74,EXP,16,-0.42
