mode,opt,combo_mode,tp_ratio,trail_variant,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
RAW,O1,A,1x,,2024-08-14,58683.39,64551.73,10.0,-10.0,4.98,SL,9,-1.0
RAW,O1,A,1x,,2024-09-16,58213.99,64035.39,10.0,-10.0,4.25,SL,4,-1.0
RAW,O1,A,1x,,2024-10-21,67377.5,74115.25,10.0,-10.0,3.16,SL,16,-1.0
RAW,O1,A,1x,,2024-10-21,67377.5,74115.25,10.0,-10.0,3.16,SL,16,-1.0
RAW,O1,A,1x,,2024-10-21,67377.5,74115.25,10.0,-10.0,3.16,SL,16,-1.0
RAW,O1,A,1x,,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,A,1x,,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,A,1x,,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,A,1x,,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,A,1x,,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,A,1x,,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,A,1x,,2025-01-07,96954.61,106650.07,10.0,-10.0,3.78,SL,13,-1.0
RAW,O1,A,1x,,2025-01-19,101331.57,111464.73,10.0,-10.0,3.76,TP,37,1.0
RAW,O1,A,1x,,2025-01-19,101331.57,111464.73,10.0,-10.0,3.76,TP,37,1.0
RAW,O1,A,1x,,2025-02-17,95780.0,105358.0,10.0,-10.0,3.86,TP,8,1.0
RAW,O1,A,1x,,2025-03-21,84088.79,92497.67,10.0,-10.0,4.95,TP,17,1.0
RAW,O1,A,1x,,2025-04-16,84030.38,92433.42,10.0,-10.0,4.6,SL,6,-1.0
RAW,O1,A,1x,,2025-06-12,105671.73,116238.9,10.0,-10.0,2.83,SL,28,-1.0
RAW,O1,A,1x,,2025-06-12,105671.73,116238.9,10.0,-10.0,2.83,SL,28,-1.0
RAW,O1,A,1x,,2025-06-12,105671.73,116238.9,10.0,-10.0,2.83,SL,28,-1.0
RAW,O1,A,1x,,2025-06-30,107146.5,117861.15,10.0,-10.0,2.64,SL,11,-1.0
RAW,O1,A,1x,,2025-07-30,117840.3,129624.33,10.0,-10.0,2.39,TP,72,1.0
RAW,O1,A,1x,,2025-07-30,117840.3,129624.33,10.0,-10.0,2.39,TP,72,1.0
RAW,O1,A,1x,,2025-08-12,120134.08,132147.49,10.0,-10.0,2.29,TP,17,1.0
RAW,O1,A,1x,,2025-09-06,110187.97,121206.77,10.0,-10.0,2.64,SL,27,-1.0
RAW,O1,A,1x,,2025-10-06,124658.54,137124.39,10.0,-10.0,2.14,TP,4,1.0
RAW,O1,A,1x,,2025-10-29,110021.29,121023.42,10.0,-10.0,3.22,TP,6,1.0
RAW,O1,A,1x,,2025-10-29,110021.29,121023.42,10.0,-10.0,3.22,TP,6,1.0
RAW,O1,A,1x,,2025-11-12,101654.37,111819.81,10.0,-10.0,3.69,TP,5,1.0
RAW,O1,A,1x,,2025-11-30,90360.0,99396.0,10.0,-10.0,4.11,TP,61,1.0
RAW,O1,A,1x,,2025-12-24,87669.45,96436.4,10.0,-10.0,3.95,SL,20,-1.0
